Line #,Name,Description,Designator,Quantity,Custom column 1,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","330p","CAP CER 330PF±5% 50V C0G 0402","C1","1","","Samsung Electro-Mechanics","CL05C331JB5NNNC-lcsc","Manual Solution","LCSC","C13533","0.0033","0.165"
"","47p","CAP CER 47PF±5% 50V C0G 0402","C2","1","","FH","0402CG470J500NT-lcsc","Manual Solution","LCSC","C1567","0.0012","0.12"
"","100p","CAP CER 100PF±5% 50V C0G 0402","C3","1","","FH","0402CG101J500NT-lcsc","Manual Solution","LCSC","C1546","0.0012","0.12"
"","1.1p","CAP CER 1.1PF±0.05PF 50V C0G/NP0 0402","C4","1","","FH","0402CG1R1C500NT","Manual Solution","LCSC","C20617875","0.0012","0.12"
"","1.3p","CAP CER 1.3PF±0.05PF 50V C0G/NP0 0402","C5","1","","muRata","GJM1555C1H1R3BB01D","Manual Solution","LCSC","C161309","0.0183","0.915"
"","10n","CAP CER 10NF±5% 25V C0G 0402","C6, C8, C9","3","","muRata","GRM1555C1E103JE01D","Manual Solution","LCSC","C3855387","0.0647","0.647"
"","1u","Cap Ceramic 1uF 50V X7R 10% SMD 0805 125C Blister T/R","C7","1","","Yageo Group","CC0805KKX7R9BB105","Volume Production","LCSC","C91185","0.0127","0.0127"
"","CL31A226KAHNNNE","Ceramic Capacitor, Multilayer, Ceramic, 25V, 10% +Tol, 10% -Tol, X5R, 15% TC, 22uF, Surface Mount, 1206","C10, C11","2","","Samsung Electro-Mechanics","CL31A226KAHNNNE","Volume Production","LCSC","C12891","0.0672","0.1344"
"","100n","CAPACITOR CERAMIC, 0.1UF, 50V, X7R, 10%, 0603","C12, C13","2","","YAGEO","CC0603KRX7R9BB104-lcsc","Manual Solution","LCSC","C14663","0.003","0.006"
"","100n LICC","CAP CER 0.1UF 25V X7R 0306","C14, C15, C16, C17","4","","YAGEO","CL0306KRX7R6BB104-lcsc","Manual Solution","LCSC","C2217498","0.0338","0.676"
